,Name,state,summit_elev,vertical_drop,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
2,Hilltop Ski Area,Alaska,2090,294,0,0,1,0,2,3,13,1,1.0,30.0,30.0,150,36,69.0,30.0,34.0,152,30.0,1
4,Sunrise Park Resort,Arizona,11100,1800,1,2,3,1,0,7,65,2,1.2,800.0,80.0,115,49,250.0,74.0,78.0,104,80.0,0
5,Yosemite Ski & Snowboard Area,California,7800,600,0,0,1,3,1,5,10,2,0.4,88.0,32.3,110,84,300.0,47.0,47.0,107,0.0,0
10,Donner Ski Ranch,California,8012,750,0,0,1,5,2,8,52,2,1.5,505.0,60.0,163,82,400.0,75.0,75.0,170,0.0,0
15,Mt. Shasta Ski Park,California,6890,1435,0,0,3,0,1,4,32,2,1.1,425.0,225.0,140,34,300.0,49.0,59.0,130,0.0,0
23,Soda Springs,California,7352,652,0,0,1,1,2,4,18,0,0.4,200.0,20.0,150,83,400.0,50.0,50.0,144,0.0,0
37,Monarch Mountain,Colorado,11952,1162,0,1,0,4,2,7,64,2,1.0,800.0,324.6,143,80,350.0,89.0,89.0,136,0.0,0
40,Cooper,Colorado,11700,1200,0,0,1,1,2,4,41,1,1.0,400.0,324.6,130,74,260.0,56.0,56.0,130,0.0,0
41,Ski Granby Ranch,Colorado,9202,1000,2,0,1,1,1,5,40,1,0.6,406.0,170.0,116,36,220.0,84.0,84.0,92,100.0,0
43,Sunlight Mountain Resort,Colorado,9895,2010,0,0,1,2,0,3,67,1,2.5,680.0,30.0,100,53,250.0,65.0,65.0,135,0.0,0
50,Powder Ridge Park,Connecticut,720,550,0,0,1,2,2,5,19,4,0.5,80.0,68.0,80,60,80.0,45.0,55.0,100,40.0,1
51,Ski Sundown,Connecticut,1075,625,0,0,3,0,2,5,16,2,1.0,70.0,70.0,84,50,45.0,62.0,62.0,95,66.0,1
55,Kelly Canyon Ski Area,Idaho,6600,1000,0,0,0,4,2,6,51,1,1.3,740.0,171.3,114,62,200.0,57.92,42.0,131,0.0,0
56,Lookout Pass Ski Area,Idaho,5650,1150,0,0,1,3,0,4,35,2,1.5,540.0,171.3,113,84,400.0,44.0,47.0,140,0.0,2
58,Pebble Creek Ski Area,Idaho,8560,2200,0,0,3,0,0,3,54,2,1.3,1100.0,30.0,85,70,250.0,47.0,47.0,91,30.0,0
59,Pomerelle Mountain Resort,Idaho,9000,1000,0,0,1,1,1,3,24,2,1.5,500.0,50.0,138,56,500.0,57.92,64.17,138,100.0,0
65,Chestnut Mountain Resort,Illinois,1040,475,0,2,4,0,3,9,22,3,0.2,139.0,139.0,87,60,50.0,40.0,55.0,112,139.0,1
